"","Name","Longitude","Latitude","Population"
"154","Tukwila, Washington",-122.2727,47.4749,20033
"155","Newport, Washington",-117.0546,48.1791,2608
"156","Yelm, Washington",-122.6261,46.9398,16125
"157","Olympia, Washington",-122.8958,47.0417,194532
"158","Endicott, Washington",-117.6865,46.928,291
"159","Lind, Washington",-118.614,46.9706,550
"160","Fife, Washington",-122.3519,47.2327,10103
"161","Pateros, Washington",-119.9,48.0555,688
"162","Port Orchard, Washington",-122.6616,47.516,13945
"163","Tieton, Washington",-120.756,46.7027,1276
"164","Bingen, Washington",-121.4695,45.7151,722
"165","Farmington, Washington",-117.0464,47.0887,156
"166","Bremerton, Washington",-122.7121,47.5436,214549
"167","Friday Harbor, Washington",-123.0656,48.5324,2338
"168","Carnation, Washington",-121.9041,47.6443,1995
"169","Lake Stevens, Washington",-122.0964,48.0028,31679
"170","Mossyrock, Washington",-122.4887,46.5305,763
"171","Bridgeport, Washington",-119.6732,48.0062,2509
"172","Brewster, Washington",-119.7758,48.1034,2341
"173","Rock Island, Washington",-120.1369,47.3738,932
"174","Rockford, Washington",-117.1309,47.4512,468
"175","Montesano, Washington",-123.5868,47.0108,8385
"176","Tekoa, Washington",-117.074,47.2254,808
"177","La Center, Washington",-122.6752,45.8585,3098
"178","Sequim, Washington",-123.0948,48.0747,20330
"179","Ione, Washington",-117.4224,48.7401,450
"180","Tacoma, Washington",-122.4531,47.2431,211277
"181","Yacolt, Washington",-122.4065,45.8653,1690
"182","Coulee Dam, Washington",-118.9759,47.9688,1090
"183","Woodinville, Washington",-122.1479,47.7568,12000
"184","Riverside, Washington",-119.5109,48.5046,268
"185","Ocean Shores, Washington",-124.1521,46.9686,5463
"186","Mansfield, Washington",-119.6384,47.8118,334
"187","Springdale, Washington",-117.7466,48.0572,276
"188","Okanogan, Washington",-119.5775,48.3683,2561
"189","Moses Lake, Washington",-119.2762,47.1276,36662
"190","Mabton, Washington",-119.9937,46.2115,2544
"191","Puyallup, Washington",-122.2901,47.1794,40640
"192","Cathlamet, Washington",-123.3836,46.2058,545
"193","Sumner, Washington",-122.2337,47.219,9969
"194","Davenport, Washington",-118.1519,47.6562,1688
"195","Walla Walla, Washington",-118.3364,46.0678,56509
"196","South Cle Elum, Washington",-120.9522,47.1859,547
"197","Almira, Washington",-118.9369,47.7105,267
"198","Bothell, Washington",-122.2039,47.774,44546
"199","Tumwater, Washington",-122.9227,46.9925,22538
"200","Uniontown, Washington",-117.0862,46.539,333
"201","Coupeville, Washington",-122.6778,48.2172,1920
"202","Duvall, Washington",-121.9726,47.7354,7701
"203","Marcus, Washington",-118.06,48.6643,187
"204","Rainier, Washington",-122.6866,46.8917,2011
"205","Monroe, Washington",-121.9854,47.8594,18408
"206","Clarkston, Washington",-117.0501,46.4154,7341
"207","Gig Harbor, Washington",-122.5966,47.335,9110
"208","Des Moines, Washington",-122.3154,47.3914,31172
"209","Metaline Falls, Washington",-117.3707,48.8616,242
"210","Snohomish, Washington",-122.0971,47.9277,9915
"211","Richland, Washington",-119.2939,46.2828,54989
"212","Woodland, Washington",-122.7503,45.9147,6333
"213","Washougal, Washington",-122.3433,45.5812,15466
"214","Bonney Lake, Washington",-122.1698,47.1789,20310
"215","South Prairie, Washington",-122.094,47.1373,435
"216","Spokane Valley, Washington",-117.2345,47.6625,96340
"217","Bellevue, Washington",-122.155,47.5953,141400
"218","Marysville, Washington",-122.1559,48.0812,163547
"219","Newcastle, Washington",-122.1633,47.5304,11567
"220","North Bend, Washington",-121.7741,47.4899,6739
"221","Wilbur, Washington",-118.7144,47.7579,835
"222","Enumclaw, Washington",-121.9898,47.2018,11654
"223","Napavine, Washington",-122.9043,46.5856,1868
"224","Hatton, Washington",-118.8276,46.7736,100
"225","Shelton, Washington",-123.1128,47.2186,18981
"226","Bellingham, Washington",-122.4683,48.7534,123933
"227","Castle Rock, Washington",-122.9056,46.2717,2805
"228","Nooksack, Washington",-122.3213,48.9276,1525
"229","Elma, Washington",-123.4049,47.007,3053
"230","Kenmore, Washington",-122.246,47.7531,22357
"231","Ellensburg, Washington",-120.5491,47.001,22847
"232","DuPont, Washington",-122.6496,47.1079,9497
"233","Long Beach, Washington",-124.0557,46.3555,1389
"234","Granite Falls, Washington",-121.9705,48.0874,6421
"235","Tonasket, Washington",-119.4431,48.7087,1013
"236","Milton, Washington",-122.3153,47.2522,7970
"237","Lamont, Washington",-117.905,47.2003,73
"238","Stanwood, Washington",-122.3427,48.245,7073
"239","Benton City, Washington",-119.4814,46.2624,4464
"240","Elmer City, Washington",-118.9528,48,239
"241","East Wenatchee, Washington",-120.2809,47.4172,13968
"242","Spokane, Washington",-117.433,47.6671,400936
"243","Leavenworth, Washington",-120.6633,47.5943,3330
"244","Chelan, Washington",-120.026,47.8414,6023
"245","Wilson Creek, Washington",-119.1176,47.4229,210
"246","Latah, Washington",-117.1554,47.282,187
"247","Camas, Washington",-122.4301,45.6006,22449
"248","Blaine, Washington",-122.7406,48.9839,5164
"249","Oroville, Washington",-119.4293,48.9421,1677
"250","Union Gap, Washington",-120.4937,46.5569,6110
"251","Pasco, Washington",-119.1271,46.2499,70579
"252","Pe Ell, Washington",-123.2981,46.5712,643
"253","Fairfield, Washington",-117.1748,47.3848,605
"254","Cashmere, Washington",-120.4669,47.5174,4878
"255","Issaquah, Washington",-122.0436,47.5414,37322
"256","Toppenish, Washington",-120.3125,46.3807,14550
"257","Darrington, Washington",-121.6029,48.2542,1385
"258","Dayton, Washington",-117.9768,46.3171,2576
"259","Orting, Washington",-122.2113,47.0967,7693
"260","Fircrest, Washington",-122.5157,47.2308,6780
"261","Conconully, Washington",-119.7513,48.5575,213
"262","Entiat, Washington",-120.2171,47.6781,1208
"263","Westport, Washington",-124.112,46.8919,2035
"264","Twisp, Washington",-120.1165,48.3615,952
"265","Ritzville, Washington",-118.3821,47.1259,1626
"266","Vancouver, Washington",-122.5972,45.6352,174826
"267","Battle Ground, Washington",-122.5415,45.7763,20110
"268","College Place, Washington",-118.3869,46.043,9142
"269","Garfield, Washington",-117.1395,47.0099,611
"270","Mount Vernon, Washington",-122.3114,48.4203,68613
"271","Ferndale, Washington",-122.5893,48.8525,13403
"272","White Salmon, Washington",-121.4853,45.7284,2473
"273","Aberdeen, Washington",-123.8083,46.9768,28863
"274","Winlock, Washington",-122.9342,46.4907,1337
"275","Goldendale, Washington",-120.8191,45.8214,3369
"276","Everett, Washington",-122.1672,47.9524,109043
"277","Burien, Washington",-122.3393,47.4761,50997
"278","Manassas Park, Virginia",-77.4448,38.7717,15915
"279","Columbia, Virginia",-78.1638,37.7533,80
"280","Fairfax, Virginia",-77.2998,38.8531,24164
"281","Scottsburg, Virginia",-78.7914,36.7588,131
"282","Big Stone Gap, Virginia",-82.7774,36.8615,7885
"283","Waynesboro, Virginia",-78.9012,38.0673,21887
"284","Lexington, Virginia",-79.444,37.7825,8765
"285","Clinchco, Virginia",-82.3564,37.1598,312
"286","Ivor, Virginia",-76.8978,36.9052,327
"287","Montross, Virginia",-76.8229,38.0941,389
"288","Jonesville, Virginia",-83.1152,36.6871,956
"289","Duffield, Virginia",-82.7962,36.7196,85
"290","McKenney, Virginia",-77.7219,36.9853,482
"291","Goshen, Virginia",-79.5071,37.9906,354
"292","Onley, Virginia",-75.7182,37.6917,513
"293","Exmore, Virginia",-75.8283,37.5295,1442
"294","Kenbridge, Virginia",-78.1283,36.9608,1221
"295","Winchester, Virginia",-78.1745,39.1734,72928
"296","Lebanon, Virginia",-82.0783,36.8992,3237
"297","Orange, Virginia",-78.1125,38.2484,5179
"298","Boydton, Virginia",-78.3908,36.666,416
"299","Kilmarnock, Virginia",-76.3834,37.7118,1438
"300","Hamilton, Virginia",-77.6641,39.135,625
"301","Mineral, Virginia",-77.9061,38.0068,492
"302","Cleveland, Virginia",-82.1527,36.9434,184
"303","Wachapreague, Virginia",-75.6897,37.6062,230
"304","Jarratt, Virginia",-77.4689,36.816,614
"305","Strasburg, Virginia",-78.3541,38.9944,7218
"306","Radford, Virginia",-80.5583,37.1229,17483
"307","Richmond, Virginia",-77.4755,37.5294,1041877
"308","Alberta, Virginia",-77.8937,36.8553,283
"309","Luray, Virginia",-78.4545,38.6653,4692
"310","Middleburg, Virginia",-77.7427,38.9716,828
"311","Drakes Branch, Virginia",-78.601,36.9933,511
"312","Chilhowie, Virginia",-81.6835,36.801,1721
"313","Glen Lyn, Virginia",-80.8576,37.373,118
"314","Ridgeway, Virginia",-79.8583,36.5781,697
"315","Boykins, Virginia",-77.1989,36.5778,542
"316","Monterey, Virginia",-79.5809,38.4116,136
"317","Dungannon, Virginia",-82.4683,36.8284,310
"318","Bowling Green, Virginia",-77.3473,38.0533,1167
"319","Virginia Beach, Virginia",-76.0435,36.7335,1487505
"320","Toms Brook, Virginia",-78.4397,38.9469,262
"321","Gordonsville, Virginia",-78.1877,38.1362,1583
"322","Occoquan, Virginia",-77.2604,38.6823,1061
"323","Craigsville, Virginia",-79.3842,38.0842,935
"324","Herndon, Virginia",-77.3867,38.9699,24393
"325","Troutville, Virginia",-79.8779,37.4167,431
"326","Glasgow, Virginia",-79.4514,37.6346,1116
"327","Timberville, Virginia",-78.7729,38.6341,2640
"328","Mount Crawford, Virginia",-78.9413,38.3601,452
"329","Chesapeake, Virginia",-76.3024,36.6778,237940
"330","Tappahannock, Virginia",-76.8665,37.9185,2545
"331","Urbanna, Virginia",-76.5747,37.6395,470
"332","Haysi, Virginia",-82.2931,37.215,474
"333","Virgilina, Virginia",-78.7755,36.5463,142
"334","Round Hill, Virginia",-77.7681,39.1319,659
"335","Coeburn, Virginia",-82.469,36.9451,2951
"336","Purcellville, Virginia",-77.7109,39.1378,14645
"337","Blackstone, Virginia",-78.0029,37.0821,3081
"338","Appalachia, Virginia",-82.7881,36.9096,1654
"339","Covington, Virginia",-79.9868,37.7786,7804
"340","Charlottesville, Virginia",-78.4856,38.0374,99664
"341","Rural Retreat, Virginia",-81.2764,36.901,1480
"342","Smithfield, Virginia",-76.6162,36.9753,10652
"343","Waverly, Virginia",-77.0956,37.034,2050
"344","Burkeville, Virginia",-78.2012,37.1879,406
"345","Tazewell, Virginia",-81.513,37.127,4670
"346","Lovettsville, Virginia",-77.6392,39.2739,1985
"347","Boones Mill, Virginia",-79.9514,37.1156,232
"348","Norfolk, Virginia",-76.259,36.8945,245115
"349","Belle Haven, Virginia",-75.8259,37.5556,528
"350","Middletown, Virginia",-78.2781,39.0288,1334
"351","Dumfries, Virginia",-77.3234,38.567,5186
"352","Stuart, Virginia",-80.2689,36.6411,1376
"353","Berryville, Virginia",-77.9823,39.1508,4399
"354","Stanley, Virginia",-78.5028,38.5768,1648
"355","Buchanan, Virginia",-79.6894,37.5212,1173
"356","Gretna, Virginia",-79.3646,36.9492,1237
"357","Elkton, Virginia",-78.6159,38.4107,3822
"358","Damascus, Virginia",-81.7889,36.6326,797
"359","Petersburg, Virginia",-77.3914,37.2042,31882
"360","Claremont, Virginia",-76.9665,37.2273,346
"361","Hurt, Virginia",-79.3029,37.0954,1265
"362","Hallwood, Virginia",-75.5895,37.8774,204
"363","Chatham, Virginia",-79.3967,36.8185,1473
"364","Pearisburg, Virginia",-80.7274,37.3289,2794
"365","Windsor, Virginia",-76.7405,36.8095,2683
"366","Parksley, Virginia",-75.6539,37.7864,841
"367","Chincoteague, Virginia",-75.3493,37.9594,2919
"368","Shenandoah, Virginia",-78.617,38.4873,2334
"369","Altavista, Virginia",-79.2858,37.1229,4686
"370","Clifton Forge, Virginia",-79.825,37.8232,5080
"371","Fries, Virginia",-80.975,36.7139,467
"372","La Crosse, Virginia",-78.0939,36.7014,584
"373","Glade Spring, Virginia",-81.7725,36.7899,1448
"374","Falls Church, Virginia",-77.1751,38.8846,14014
"375","Pound, Virginia",-82.607,37.1261,954
"376","Rocky Mount, Virginia",-79.8855,37.0045,6047
"377","Grottoes, Virginia",-78.8251,38.2693,4274
"378","Galax, Virginia",-80.9176,36.666,6652
"379","Farmville, Virginia",-78.3993,37.2968,8916
"380","Saxis, Virginia",-75.7225,37.9257,239
"381","Brodnax, Virginia",-78.0318,36.7033,279
"382","Stanardsville, Virginia",-78.4367,38.2991,384
"383","Martinsville, Virginia",-79.8636,36.6827,34132
"384","Danville, Virginia",-79.4088,36.5831,48015
"385","Quantico, Virginia",-77.2901,38.5225,540
"386","Dendron, Virginia",-76.924,37.0364,249
"387","Wise, Virginia",-82.5808,36.9767,3083
"388","Manassas, Virginia",-77.484,38.748,41483
"389","Colonial Beach, Virginia",-76.9784,38.2565,3723
"390","Suffolk, Virginia",-76.6398,36.6953,89273
"391","Chase City, Virginia",-78.461,36.7998,2584
"392","Clinchport, Virginia",-82.745,36.678,66
"393","Clarksville, Virginia",-78.564,36.6175,1186
"394","Independence, Virginia",-81.1511,36.6254,923
"395","Harrisonburg, Virginia",-78.8735,38.4362,72470
"396","Melfa, Virginia",-75.7409,37.6491,398
"397","Clintwood, Virginia",-82.4571,37.1506,1302
"398","White Stone, Virginia",-76.3897,37.644,342
"399","Pembroke, Virginia",-80.6361,37.3222,1091
"400","Dublin, Virginia",-80.6831,37.0989,2683
"401","Wakefield, Virginia",-76.9875,36.9686,872
"402","Fredericksburg, Virginia",-77.4871,38.2992,164610
"403","Warrenton, Virginia",-77.7973,38.7177,9861
"404","Marion, Virginia",-81.5135,36.8389,7808
"405","Broadway, Virginia",-78.8016,38.6083,6513
"406","Bridgewater, Virginia",-78.9674,38.3863,6048
"407","Weber City, Virginia",-82.5628,36.6237,1246
"408","Culpeper, Virginia",-78.0002,38.4705,19544
"409","Fincastle, Virginia",-79.8756,37.4993,339
"410","Vinton, Virginia",-79.8886,37.2747,8185
"411","Gate City, Virginia",-82.5783,36.6402,1930
"412","Bloxom, Virginia",-75.6216,37.8291,378
"413","Blacksburg, Virginia",-80.4277,37.23,93560
"414","Portsmouth, Virginia",-76.354,36.8468,95252
"415","Newport News, Virginia",-76.5185,37.1052,181825
"416","Irvington, Virginia",-76.4205,37.6621,415
"417","Cape Charles, Virginia",-76.0093,37.257,1039
"418","South Hill, Virginia",-78.1287,36.7254,4647
"419","Dillwyn, Virginia",-78.4613,37.5411,445
"420","Haymarket, Virginia",-77.6365,38.8123,1970
"421","Brookneal, Virginia",-78.9486,37.0532,1116
"422","Bluefield, Virginia",-81.2746,37.2353,4968
"423","Boyce, Virginia",-78.0602,39.0932,615
"424","Mount Jackson, Virginia",-78.6445,38.7423,2041
"425","Honaker, Virginia",-81.9686,37.0156,1365
"426","Newsoms, Virginia",-77.1248,36.6262,310
"427","Eastville, Virginia",-75.9404,37.351,168
"428","Nickelsville, Virginia",-82.416,36.7517,366
"429","Salem, Virginia",-80.0554,37.2864,25549
"430","Leesburg, Virginia",-77.5543,39.1057,52607
"431","Cheriton, Virginia",-75.9687,37.2919,472
"432","Hillsville, Virginia",-80.7371,36.7612,2655
"433","Pulaski, Virginia",-80.7624,37.0531,15625
"434","Stony Creek, Virginia",-77.4001,36.948,188
"435","Staunton, Virginia",-79.0608,38.1593,58077
"436","New Market, Virginia",-78.6708,38.6461,2207
"437","Edinburg, Virginia",-78.5633,38.8236,1068
"438","Stephens City, Virginia",-78.2229,39.0904,1967
"439","Wytheville, Virginia",-81.0881,36.953,7114
"440","Charlotte Court House, Virginia",-78.6378,37.0564,527
"441","Courtland, Virginia",-77.062,36.7123,1247
"442","Bristol, Virginia",-82.1607,36.618,16960
"443","Ashland, Virginia",-77.4715,37.7597,7649
"444","Hampton, Virginia",-76.3629,37.0551,135410
"445","Nassawadox, Virginia",-75.8591,37.4763,494
"446","Halifax, Virginia",-78.9279,36.7612,1246
"447","Roanoke, Virginia",-79.9581,37.2784,215793
"448","Crewe, Virginia",-78.1307,37.1812,4118
"449","Williamsburg, Virginia",-76.7075,37.2691,81840
"450","The Plains, Virginia",-77.7745,38.8621,228
"451","Capron, Virginia",-77.2013,36.7093,156
"452","Narrows, Virginia",-80.8084,37.3317,4108
"453","Victoria, Virginia",-78.2242,36.9947,1671
"454","Front Royal, Virginia",-78.1837,38.926,19557
"455","Alexandria, Virginia",-77.0861,38.8184,155810
"456","Scottsville, Virginia",-78.492,37.8064,607
"457","Phenix, Virginia",-78.7485,37.0811,219
"458","Norton, Virginia",-82.626,36.9317,10259
"459","Vienna, Virginia",-77.2597,38.8996,16468
"460","Pocahontas, Virginia",-81.3433,37.3069,376
"461","Lynchburg, Virginia",-79.1911,37.4004,123795
"462","Washington, Virginia",-78.1599,38.7121,126
"463","Iron Gate, Virginia",-79.7904,37.7986,377
"464","Pennington Gap, Virginia",-83.0294,36.7595,1774
"465","West Point, Virginia",-76.8017,37.5519,2681
"466","Madison, Virginia",-78.2586,38.379,218
"467","Rich Creek, Virginia",-80.8207,37.3833,754
"468","Amherst, Virginia",-79.0508,37.5815,2205
"469","Port Royal, Virginia",-77.1912,38.1697,197
"470","Emporia, Virginia",-77.5356,36.6953,6393
"471","Woodstock, Virginia",-78.5158,38.8753,7225
"472","Appomattox, Virginia",-78.8265,37.359,1769
"473","Richlands, Virginia",-81.8082,37.0877,8938
"474","Dayton, Virginia",-78.9412,38.4173,1609
"475","Poquoson, Virginia",-76.3569,37.1318,12017
"476","Floyd, Virginia",-80.3184,36.9118,442
"477","Painter, Virginia",-75.7838,37.5852,227
"478","New Castle, Virginia",-80.1119,37.5013,150
"479","Bedford, Virginia",-79.5181,37.3359,7259
"480","Abingdon, Virginia",-81.9711,36.7089,8083
"481","Franklin, Virginia",-76.9386,36.6831,8913
"482","Lawrenceville, Virginia",-77.8539,36.7564,2997
"483","Hopewell, Virginia",-77.2985,37.2914,22735
"484","Keysville, Virginia",-78.4804,37.039,808
"485","Grundy, Virginia",-82.0988,37.2754,958
"486","Saltville, Virginia",-81.7643,36.8751,2009
"487","Louisa, Virginia",-77.9984,38.0212,1650
"488","Surry, Virginia",-76.8333,37.1371,225
"489","Remington, Virginia",-77.8082,38.5346,631
"490","Hillsboro, Virginia",-77.7244,39.1997,98
"491","Buena Vista, Virginia",-79.3565,37.7316,6341
"492","Tangier, Virginia",-75.991,37.8251,722
"493","Cedar Bluff, Virginia",-81.7632,37.0868,1061
"494","Accomac, Virginia",-75.6675,37.7195,499
"495","Branchville, Virginia",-77.2501,36.5698,116
"496","South Boston, Virginia",-78.9135,36.7131,8109
"497","Clifton, Virginia",-77.3866,38.7802,292
"498","Christiansburg, Virginia",-80.4028,37.1411,22088
"499","Onancock, Virginia",-75.7434,37.7101,1266
"500","Keller, Virginia",-75.7641,37.6213,176
"501","Colonial Heights, Virginia",-77.3969,37.265,17772
"502","Warsaw, Virginia",-76.761,37.9603,1485
"503","Wyoming, Delaware",-75.5632,39.1143,1486
"504","Newark, Delaware",-75.7573,39.6777,33398
"505","Fenwick Island, Delaware",-75.0542,38.4604,426
"506","Blades, Delaware",-75.6026,38.6353,1380
"507","Milford, Delaware",-75.4232,38.9095,20683
"508","Bridgeville, Delaware",-75.6027,38.7248,3758
"509","Greenwood, Delaware",-75.5907,38.8069,1085
"510","Bethany Beach, Delaware",-75.066,38.5391,1194
"511","Middletown, Delaware",-75.7165,39.4451,32540
"512","Cheswold, Delaware",-75.5911,39.2224,1425
"513","Newport, Delaware",-75.6052,39.7136,1050
"514","Harrington, Delaware",-75.5705,38.9243,4594
"515","Dewey Beach, Delaware",-75.0749,38.6958,379
"516","Camden, Delaware",-75.557,39.099,3489
"517","Milton, Delaware",-75.3104,38.775,2856
"518","Dagsboro, Delaware",-75.2466,38.5466,878
"519","Slaughter Beach, Delaware",-75.3085,38.9143,233
"520","Frankford, Delaware",-75.2342,38.5215,951
"521","Millsboro, Delaware",-75.3018,38.5865,10403
"522","Townsend, Delaware",-75.6945,39.3968,2313
"523","Woodside, Delaware",-75.5667,39.0711,196
